Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2007,,,,2009,,,,,A New EV Charging Company Arises,"ChargePoint is founded on the idea of a future robust charging infrastructure. Despite the still nascent state of the EV market, it establishes its first stations in San Jose, California, and Chicago. It goes on to specialize in the sale of EV charging stations to various municipalities, utilities, and private companies. Notably, drivers could locate these stations using Blackberry smartphones and receive real-time updates on availability, including text messages notifying them when their vehicles were fully charged.",https://imageio.forbes.com/specials-images/imageserve/5f2a0999613f92327e3e4523/Chargepoint-fundraising/960x0.jpg?format=jpg&width=1440,https://imageio.forbes.com/specials-images/imageserve/5f2a0999613f92327e3e4523/Chargepoint-fundraising/960x0.jpg?format=jpg&width=1440,,,,,
2016,9,7,,,,,,,Dieselgate: Volkswagen Emissions Scandal,"Volkswagen slapped with billions in fines and penalties for intentionally programming its turbocharged direct injection diesel engines with deceitful emissions controls during regulatory testing. As part of their punishment, a US Federal Judge orders Volkswagen to pay $2 billion toward EV charging infrastructure and promotion. The money goes toward founding a privately owned EV charging company, Electrify America.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2015/10/Volkswagen-HQ-clouds-e1446151067853-626x381.jpg?resize=1200:*,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2015/10/Volkswagen-HQ-clouds-e1446151067853-626x381.jpg?resize=1200:*,,,,,
2023,12,,,,,,,,Electrify America Becomes a Mainstay,"Electrify America establishes itself as a prominent electric vehicle (EV) DC fast-charging network in the United States with over 850 stations and more than 3,700 connectors. The network supports both CCS (Combined Charging System) and CHAdeMO connector types. In June 2022, Siemens became a minority shareholder in the company. It bolsters plans to add NACS connectors starting in 2025.","https://techcrunch.com/wp-content/uploads/2021/07/ElectrifyAmerica-VancouverWA.jpg?resize=2048,1365","https://techcrunch.com/wp-content/uploads/2021/07/ElectrifyAmerica-VancouverWA.jpg?resize=2048,1365",,,,,
2023,2,15,,,,,,,Federal Funds Allocated to EV Infrastructure,"As part of President Biden's Bipartisan Infrastructure Law, $46.5 million are allocated to projects that boost America's EV charging infrastructure. Funding will address barriers in multifamily housing, explore urban curbside charging, and promote seamless connections via e-mobility hubs. Additionally, new incentive structures will be tested to ensure affordable public charging access, signaling a comprehensive effort to enhance accessibility and sustainability in the transportation sector.",https://upload.wikimedia.org/wikipedia/commons/3/3c/Bipartisan_Infrastructure_Law_Sign_in_Avon%2C_CT.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Bipartisan_Infrastructure_Law_Sign_in_Avon%2C_CT.jpg,,,,,
1910,,,,,,,,,Early Electric Car Chargers,"During the early 20th century, electric cars held a notable presence in the United States, comprising approximately 38% of the automobile market. When these vehicles required recharging, their batteries were typically removed and replenished in designated battery rooms. In 1910, the 6kW Wattstation emerged as a pioneering example of charging infrastructure for electric cars. Notably, this era saw the continued use of mercury rectifiers to convert alternating current (AC) to direct current (DC), reflecting the technological landscape of the time.",https://electriccarcharger.au/wp-content/uploads/2023/09/EVChargingStation1912.jpg,https://electriccarcharger.au/wp-content/uploads/2023/09/EVChargingStation1912.jpg,,,,,
2008,,,,2012,,,,,Silicon Valley Startup Releases the Roadster,"Tesla Motors, a small silicon valley startup, releases the Roadster as the first mass produced battery electric vehicle made with Lithium-ion batteries. With a chassis based on the Lotus Elise, it garnered attention for its sports car build and longer range of 244 miles per charge. The Roadster came with a proprietary AC charging station that could recharge it in only a few hours, much faster than earlier stations.",https://static1.hotcarsimages.com/wordpress/wp-content/uploads/2021/08/zhcpcbmqzpza19lbexat.jpeg?q=50&fit=contain&w=1140&h=&dpr=1.5,https://static1.hotcarsimages.com/wordpress/wp-content/uploads/2021/08/zhcpcbmqzpza19lbexat.jpeg?q=50&fit=contain&w=1140&h=&dpr=1.5,,,,,
2010,,,,,,,,,Nissan Releases the LEAF,"Nissan releases the LEAF, the first mass-produced battery electric vehicle meant to be an affordable, everday model. The early models came with their own charging station, that could charge the car in approximately eight hours. The LEAF became the world's best selling electric vehicle for a few consecutive years.",https://wieck-nissanao-production.s3.amazonaws.com/photos/04c22c7c65d002cde37c9da52f0f15628f1720b9/preview-768x432.jpg,https://wieck-nissanao-production.s3.amazonaws.com/photos/04c22c7c65d002cde37c9da52f0f15628f1720b9/preview-768x432.jpg,,,,,
2023,,,,,,,,,BP Invests in Fast-Charging,"Traditional oil and gas company, BP, boosts the EV charging network with $100 million order of Tesla ultra-fast chargers. It also announces plans to invest $1 billion by 2030 in EV charging points across the U.S. as part of its transformation into an integrated energy company. A key part of this investment involves partnering with Hertz to install fast charging infrastructure at Hertz locations in major US cities. ",https://www.bp.com/content/dam/bp/country-sites/en_us/united-states/home/images/what-we-do/bp-pulse/bp-pulse-supercharger-telsa.jpg.img.1175.medium.jpg,https://www.bp.com/content/dam/bp/country-sites/en_us/united-states/home/images/what-we-do/bp-pulse/bp-pulse-supercharger-telsa.jpg.img.1175.medium.jpg,,,,,
1913,,,,1927,,,,,Public Favors Internal Combustion Engine,"The introduction of the Ford Model T marked the public's shift toward favoring internal combustion engines (ICEs). Consumers appreciated its affordability and accessibility made possible by mass production. Its longer range, faster refueling, and better performance compared to electric vehicles, along with the rapid growth of gasoline infrastructure, made ICE vehicles the preferred option.",https://www.motorcities.org/images/SOTW_7.31.2019/RESIZED_1924_Ford_Model_T_brochure_NAHC_1.jpg,https://www.motorcities.org/images/SOTW_7.31.2019/RESIZED_1924_Ford_Model_T_brochure_NAHC_1.jpg,,,,,
,,,,,,,,,,,,,,,,,
